Date,Action,Entry Price,Exit Price,Profit/Loss,Exit Reason
2025-02-24,SELL,48497.2,47972.4,524.8,Target Hit
2025-03-03,SELL,48152.15,48662.5,-510.35,Stop Loss Hit
2025-03-07,SELL,48412.8,47888.0,524.8,Target Hit
2025-03-11,BUY,48021.35,48888.2,866.85,Target Hit
2025-03-18,BUY,48863.1,49375.55,512.45,Target Hit
2025-03-19,BUY,49607.55,50122.15,514.6,Target Hit
2025-03-20,BUY,50035.75,50576.75,541.0,Target Hit
2025-03-21,BUY,50151.95,51165.35,1013.4,Target Hit
2025-03-24,BUY,51122.6,51741.9,619.3,Target Hit
2025-03-24,BUY,51122.6,51668.2,545.6,Target Hit
2025-03-24,BUY,51122.6,51690.3,567.7,Target Hit
2025-03-24,BUY,51122.6,51658.1,535.5,Target Hit
2025-03-24,BUY,51122.6,51741.2,618.6,Target Hit
2025-03-24,BUY,51122.6,51746.0,623.4,Target Hit
2025-03-24,BUY,51122.6,51769.6,647.0,Target Hit
2025-03-25,BUY,51932.8,51275.25,-657.55,Stop Loss Hit
2025-03-26,SELL,51572.75,50892.05,680.7,Target Hit
2025-04-01,SELL,51170.55,51742.6,-572.05,Stop Loss Hit
2025-04-04,SELL,51474.85,49914.85,1560.0,Target Hit
2025-04-07,SELL,49242.25,49907.45,-665.2,Stop Loss Hit
2025-04-08,BUY,50754.3,50094.3,-660.0,Stop Loss Hit
2025-04-08,SELL,50388.55,50986.1,-597.55,Stop Loss Hit
2025-04-11,BUY,50968.05,52161.1,1193.05,Target Hit
2025-04-15,BUY,52299.0,52874.2,575.2,Target Hit
2025-04-16,BUY,52690.9,53379.8,688.9,Target Hit
2025-04-17,BUY,53333.25,53885.1,551.85,Target Hit
2025-04-17,BUY,53333.25,54126.05,792.8,Target Hit
2025-04-17,BUY,53333.25,54244.95,911.7,Target Hit
2025-04-17,BUY,53333.25,54354.0,1020.75,Target Hit
2025-04-17,BUY,53333.25,54284.05,950.8,Target Hit
2025-04-17,BUY,53333.25,54316.45,983.2,Target Hit
2025-04-17,BUY,53333.25,54252.05,918.8,Target Hit
2025-04-21,BUY,55195.95,55846.4,650.45,Target Hit
